epoch,train_loss,val_loss,val_iou
1,0.4327,0.4559,0.0931
2,0.2649,0.2759,0.7027
3,0.2166,0.1974,0.7328
4,0.1875,0.4023,0.6360
5,0.1586,0.2872,0.7065
6,0.1492,0.1597,0.7720
7,0.1426,0.2583,0.6660
8,0.1403,0.1171,0.8272
9,0.1288,0.0982,0.8555
10,0.1257,0.1199,0.8217
11,0.0905,0.0854,0.8706
12,0.0915,0.1007,0.8430
13,0.0889,0.1128,0.8219
14,0.0766,0.0792,0.8669
15,0.0681,0.0860,0.8547
16,0.0827,0.0706,0.8830
17,0.0718,0.0912,0.8525
18,0.0731,0.0788,0.8634
19,0.0739,0.0660,0.8819
20,0.0694,0.0677,0.8740
21,0.0900,0.0640,0.8802
22,0.0677,0.0816,0.8609
23,0.0653,0.0875,0.8568
24,0.0642,0.0758,0.8743
25,0.0661,0.0877,0.8551
26,0.0931,0.0725,0.8722
27,0.0758,0.0781,0.8701
28,0.0662,0.0650,0.8827
29,0.0640,0.0684,0.8835
30,0.0608,0.0672,0.8827
31,0.0767,0.0646,0.8857
32,0.0575,0.0608,0.8926
33,0.0583,0.0753,0.8707
34,0.0781,0.1195,0.8188
35,0.0708,0.0631,0.8912
36,0.0648,0.0609,0.8913
37,0.0820,0.1206,0.8045
38,0.0528,0.0850,0.8531
39,0.0693,0.0713,0.8732
40,0.0642,0.0717,0.8798
41,0.0541,0.0677,0.8869
42,0.0639,0.0810,0.8779
43,0.0587,0.0641,0.8912
44,0.0593,0.0667,0.8778
45,0.0678,0.0640,0.8889
46,0.0667,0.1074,0.8283
47,0.0856,0.0573,0.8975
48,0.0665,0.0691,0.8793
49,0.0869,0.0699,0.8673
50,0.0742,0.0924,0.8577
